annotation_id,source_id,line_number,tag,keyword,value
80,1,156,out,@out,date_val_log
81,1,156,uri,@uri,file:date_val_log.txt
82,1,156,as,@as,date_cleaning_log
83,1,157,log,@log,{timestamp} Checking if {field_name} value is Empty: {check_result}
84,1,173,end,@end,check_if_date_is_nonempty
85,1,177,begin,@begin,log_date_is_empty
86,1,177,desc,@desc,Log records of empty event date with final status as unable to validate
87,1,178,param,@param,RecordID
88,1,179,in,@in,original2_eventDate
89,1,179,as,@as,empty_eventDate
90,1,180,out,@out,rejected2_record_count
91,1,180,as,@as,unable-to-validate_record_count
92,1,181,out,@out,date_val_log
93,1,181,uri,@uri,file:date_val_log.txt
94,1,181,as,@as,date_cleaning_log
95,1,182,log,@log,{timestamp} {final_result} the record {RecordID}
96,1,196,end,@end,log_date_is_empty
97,1,202,begin,@begin,check_ISO_date_compliant
98,1,203,desc,@desc,Check if the eventDate is compliant with ISO date format (YYYY-MM-DD)
99,1,204,in,@in,original2_eventDate
100,1,204,as,@as,nonEmpty_eventDate
101,1,205,out,@out,original2_eventDate
102,1,205,as,@as,compliant_eventDate
103,1,206,out,@out,original2_eventDate
104,1,206,as,@as,nonCompliant_eventDate
105,1,207,out,@out,date_val_log
106,1,207,uri,@uri,file:date_val_log.txt
107,1,207,as,@as,date_cleaning_log
108,1,208,log,@log,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value}
109,1,209,log,@log,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {match_result}."
110,1,227,end,@end,check_ISO_date_compliant
111,1,231,begin,@begin,update_event_date
112,1,231,desc,@desc,Update eventDate by date format conversion
113,1,232,in,@in,original2_eventDate
114,1,232,as,@as,nonCompliant_eventDate
115,1,233,out,@out,updated2_eventDate
116,1,233,as,@as,updated_eventDate
117,1,234,out,@out,date_val_log
118,1,234,uri,@uri,file:date_val_log.txt
119,1,234,as,@as,date_cleaning_log
120,1,235,log,@log,{timestamp} UPDATING record {Record}: {field_name} from {original_value} to {updated_value}
121,1,272,end,@end,update_event_date
122,1,276,begin,@begin,log_accepted_record
123,1,276,desc,@desc,Log record final status as accepted
124,1,277,param,@param,RecordID
125,1,278,in,@in,updated2_eventDate
126,1,278,as,@as,updated_eventDate
127,1,279,in,@in,original2_eventDate
128,1,279,as,@as,compliant_eventDate
129,1,280,out,@out,accepted2_record_count
130,1,280,as,@as,accepted_record_count
131,1,281,out,@out,date_val_log
132,1,281,uri,@uri,file:date_val_log.txt
133,1,281,as,@as,date_cleaning_log
134,1,282,log,@log,{timestamp} {final_result} the record {RecordID}
135,1,287,end,@end,log_accepted_record
136,1,292,begin,@begin,write_data_into_file
137,1,292,desc,@desc,Write data into a new file
138,1,293,in,@in,original2_others
139,1,293,as,@as,other_fields
140,1,294,in,@in,updated2_eventDate
141,1,294,as,@as,updated_eventDate
142,1,295,in,@in,original2_eventDate
143,1,295,as,@as,eventDate
144,1,296,out,@out,output2_data
145,1,296,uri,@uri,file:demo_output_name_date_val.csv
146,1,296,as,@as,data_with_cleaned_names_and_dates
147,1,301,end,@end,write_output2_data
148,1,305,begin,@begin,log_summary
149,1,305,desc,@desc,Summarize on all the records
150,1,306,in,@in,accepted2_record_count
151,1,306,as,@as,accepted_record_count
152,1,307,in,@in,rejected2_record_count
153,1,307,as,@as,unable-to-validate_record_count
154,1,308,out,@out,date_val_log
155,1,308,uri,@uri,file:date_val_log.txt
156,1,308,as,@as,date_cleaning_log
157,1,309,log,@log,{timestamp} Wrote {accepted2_record_count} accepted records to {output2_data_file_name}
158,1,310,log,@log,{timestamp} Wrote {rejected2_record_count} UNABLE-to-validate records to {rejected2_data_file_name}
159,1,317,end,@end,log_summary
160,1,321,end,@end,clean_event_date
161,1,325,end,@end,clean_event_date_workflow
162,1,331,begin,@begin,timestamp
163,1,332,param,@param,message
164,1,333,return,@return,timestamp_message
165,1,342,end,@end,timestamp
